property_id,address,city,state,zip_code,property_type,price,bedrooms,bathrooms,square_feet,year_built,listing_date,Parking spots,agent_name,agent_email
19,83 Vidon Lane,Saint Paul,Minnesota,55127,Condo,699724,4,3,919,1965,8/2/2021,4,Simmonds Trustey,strusteyi@blogspot.com
20,7316 Almo Avenue,Chicago,Illinois,60657,Condo,253316,3,1,3401,1984,12/26/2022,3,Grantley Quinane,gquinanej@cdbaby.com
21,2 Gina Road,Wichita,Kansas,67236,Villa,512282,3,3,688,1905,12/30/2021,4,Leland Ironmonger,lironmongerk@paginegialle.it
22,1263 Nevada Drive,Fresno,California,93762,Apartment,251698,3,1,4937,2000,7/12/2021,2,Archibold Morton,amortonl@domainmarket.com
23,24 Nevada Place,North Las Vegas,Nevada,89036,Villa,301562,5,1,657,1920,11/16/2021,4,Deina Yakob,dyakobm@slate.com
24,1957 Commercial Avenue,Norfolk,Virginia,23509,Villa,366818,4,1,2488,1930,10/14/2022,1,Gabriela Outram,goutramn@sogou.com
25,6458 Golf Course Place,Inglewood,California,90398,Villa,680779,3,2,4251,1917,5/31/2023,1,Duffie Olliver,dollivero@google.es
26,9 Saint Paul Place,Chicago,Illinois,60691,Independent Floor,912399,4,1,1604,1940,5/26/2022,2,Willy Sandon,wsandonp@squarespace.com
27,92329 Esker Pass,New Haven,Connecticut,6533,Independent Floor,858507,1,1,2907,1989,12/13/2021,2,Neel Murty,nmurtyq@tinypic.com
28,821 Bowman Terrace,Cumming,Georgia,30130,Independent Floor,891669,5,1,1717,1931,10/1/2021,4,Geoffrey Larraway,glarrawayr@posterous.com
29,952 Superior Street,Fairfax,Virginia,22036,Villa,640490,5,4,2564,1937,9/20/2021,2,Dore Lamps,dlampss@cargocollective.com
30,3856 Hermina Way,Tuscaloosa,Alabama,35405,Condo,730824,4,3,4446,1901,4/1/2022,3,Terrijo Meneely,tmeneelyt@eepurl.com
31,52377 Dixon Crossing,Birmingham,Alabama,35231,Independent Floor,683934,5,3,3991,1977,10/31/2022,1,Janet Cammiemile,jcammiemileu@lulu.com
32,53 Northridge Avenue,Lawrenceville,Georgia,30045,Apartment,921432,2,2,1763,1914,12/16/2020,2,Evelyn Dohrmann,edohrmannv@smh.com.au
33,884 Shelley Terrace,Grand Rapids,Michigan,49505,Independent Floor,364111,2,2,2297,2002,2/16/2021,4,Gary Boreham,gborehamw@va.gov
34,992 Loomis Park,Corpus Christi,Texas,78470,Villa,956840,2,1,2004,1936,12/19/2021,3,Olivero Rudsdale,orudsdalex@soundcloud.com
35,121 Mendota Alley,Atlanta,Georgia,30311,Independent Floor,690625,3,1,696,1972,9/1/2022,2,Rhodie Magne,rmagney@behance.net
36,4 Clarendon Trail,Brooklyn,New York,11236,Independent Floor,324175,5,2,3115,2015,3/14/2023,1,Karisa Maccrie,kmaccriez@ted.com
37,7013 Everett Alley,Mobile,Alabama,36610,Apartment,935965,3,3,2031,2021,11/5/2022,4,Verile Dovey,vdovey10@apache.org
38,1422 School Court,Miami,Florida,33190,Condo,832233,2,4,1174,2004,4/20/2022,2,Stearn Hefford,shefford11@cnbc.com
39,42 Debra Drive,Knoxville,Tennessee,37931,Condo,123496,1,4,1200,1978,11/11/2021,2,Wilbert Coppen,wcoppen12@tripod.com
40,231 Pawling Road,San Francisco,California,94164,Apartment,986860,3,1,2008,1900,7/24/2022,1,Sarah McGilleghole,smcgilleghole13@wordpress.com
41,331 Fallview Plaza,Saint Louis,Missouri,63104,Villa,243476,5,2,781,1994,1/22/2023,1,Jonas Balbeck,jbalbeck14@e-recht24.de
42,13 Harper Trail,Saint Louis,Missouri,63158,Apartment,313320,2,3,732,1904,8/7/2022,2,Vin Basilio,vbasilio15@squidoo.com
43,25 Clemons Alley,Rochester,New York,14624,Independent Floor,979983,2,2,3400,1961,7/1/2021,2,Agnola Lightbody,alightbody16@illinois.edu
44,61 Jana Place,Rockford,Illinois,61110,Villa,316818,5,2,4155,1973,8/20/2021,2,Yvon Gerholz,ygerholz17@google.com
45,28 Hoffman Hill,Evansville,Indiana,47747,Condo,554792,5,3,1049,1931,10/5/2022,1,Camile Owbridge,cowbridge18@goo.gl
46,477 Acker Crossing,Houston,Texas,77050,Apartment,850058,2,2,4997,1999,11/8/2021,3,Cletis Elwin,celwin19@addtoany.com
47,39 John Wall Circle,Dallas,Texas,75358,Villa,622287,3,1,4432,1968,6/29/2023,4,Wally Moryson,wmoryson1a@uiuc.edu
48,4532 Fuller Place,Phoenix,Arizona,85099,Independent Floor,645220,1,2,811,2000,9/14/2021,2,Davidson Westcot,dwestcot1b@cdbaby.com
49,756 Towne Crossing,Newark,New Jersey,7188,Condo,118166,2,1,1331,1991,10/6/2021,1,Shayna Millhouse,smillhouse1c@ca.gov
50,7 Morning Alley,Mobile,Alabama,36605,Villa,769238,4,2,1945,1917,2/20/2023,4,Mandi Plant,mplant1d@discovery.com
51,86168 Swallow Avenue,Indianapolis,Indiana,46202,Independent Floor,392268,2,3,4362,1914,10/8/2021,3,Kissee Spera,kspera1e@ucsd.edu
52,9573 Heffernan Junction,New Orleans,Louisiana,70142,Condo,456835,5,4,2579,1913,1/9/2023,2,Jenilee Menezes,jmenezes1f@si.edu
53,53769 Esch Alley,Morgantown,West Virginia,26505,Apartment,562898,5,1,758,2018,3/6/2021,4,Nikola Worley,nworley1g@alexa.com
54,19513 Rieder Lane,Topeka,Kansas,66611,Villa,418021,2,2,1705,2009,6/6/2021,1,Jason Schwandt,jschwandt1h@nih.gov
55,50 Anhalt Park,Orange,California,92867,Villa,912996,5,1,3812,1943,9/20/2021,1,Joelly Czadla,jczadla1i@hostgator.com
56,8 Hudson Point,Grand Rapids,Michigan,49510,Apartment,405823,4,3,4962,1939,4/15/2022,1,Bebe Spavins,bspavins1j@wisc.edu
57,7 Gateway Parkway,Harrisburg,Pennsylvania,17121,Apartment,895048,2,2,2269,1991,4/14/2022,2,Krystyna Gillet,kgillet1k@nbcnews.com
58,0 Melrose Trail,Fort Worth,Texas,76192,Independent Floor,336352,3,2,694,1939,4/2/2022,1,Vera Raff,vraff1l@google.com.br
59,2 Mendota Alley,Washington,District of Columbia,20404,Independent Floor,630137,5,1,535,1943,7/26/2021,2,Shelby Laughnan,slaughnan1m@sbwire.com
60,8 Dottie Circle,Washington,District of Columbia,20078,Condo,273723,3,1,4810,1939,2/16/2021,4,Ailina Duchasteau,aduchasteau1n@dot.gov
61,54256 Debs Road,Columbus,Ohio,43204,Apartment,455433,4,4,1797,1910,6/17/2021,1,Dare Leverage,dleverage1o@msu.edu
62,194 Moland Plaza,Fort Wayne,Indiana,46852,Condo,516032,1,1,4210,1919,12/18/2021,1,Garfield Infante,ginfante1p@sciencedirect.com
63,8546 Dunning Street,Colorado Springs,Colorado,80945,Apartment,620149,5,2,2705,2010,2/7/2023,2,Giorgi McMenamy,gmcmenamy1q@youku.com
64,946 Meadow Valley Drive,Arlington,Virginia,22244,Independent Floor,824834,1,2,562,1923,5/14/2023,4,Kahlil Adame,kadame1r@virginia.edu
65,70377 Lillian Way,Detroit,Michigan,48217,Apartment,405110,4,4,590,1964,3/3/2022,1,Hestia Ricold,hricold1s@mac.com
66,07669 Sullivan Park,Chicago,Illinois,60604,Villa,585327,3,4,2931,1992,7/20/2022,1,Yul Legister,ylegister1t@uol.com.br
67,4 Kensington Circle,San Diego,California,92170,Apartment,662557,2,2,2439,1926,7/17/2023,3,Blinnie Wilcox,bwilcox1u@tripod.com
68,32456 Bunting Way,New York City,New York,10260,Villa,419412,1,3,3898,1964,5/10/2022,3,Asia Box,abox1v@alexa.com
69,27101 Dexter Parkway,Dayton,Ohio,45403,Villa,938962,3,2,3034,1983,12/18/2020,1,Elizabet Sherme,esherme1w@jugem.jp
70,5905 Marcy Road,Gadsden,Alabama,35905,Condo,469128,1,3,4736,1973,12/13/2022,2,Nolana Goldis,ngoldis1x@ihg.com
71,9599 Lunder Park,Colorado Springs,Colorado,80945,Apartment,426844,3,4,751,1921,12/18/2020,3,Emylee Worsnip,eworsnip1y@histats.com
72,3 Stephen Center,Charlotte,North Carolina,28225,Independent Floor,726381,4,4,2894,1965,1/3/2023,4,Timmi Axe,taxe1z@biglobe.ne.jp
73,17782 Texas Pass,Richmond,Virginia,23289,Apartment,710289,1,3,2322,2017,5/4/2023,3,Alanah Gookey,agookey20@com.com
74,169 Toban Drive,Tuscaloosa,Alabama,35487,Independent Floor,985652,2,3,4776,1948,7/2/2022,3,Shawn Tomasini,stomasini21@sciencedirect.com
75,94839 Charing Cross Alley,San Jose,California,95123,Apartment,384874,5,2,2017,1994,6/15/2021,4,Ibby Redholes,iredholes22@nhs.uk
76,430 3rd Crossing,Huntington,West Virginia,25770,Apartment,921484,5,3,702,1964,4/13/2021,1,Adela Cops,acops23@jiathis.com
77,6 Birchwood Plaza,San Antonio,Texas,78250,Independent Floor,122454,4,4,2076,1920,9/16/2021,4,Horton Cadwallader,hcadwallader24@e-recht24.de
78,0 Laurel Place,Los Angeles,California,90025,Villa,862930,5,1,3697,1929,4/28/2021,2,Torey Bengle,tbengle25@dedecms.com
79,1055 Holy Cross Center,Buffalo,New York,14205,Apartment,131091,1,3,1002,1981,8/6/2021,4,Britte Burberry,bburberry26@imdb.com
80,014 Lunder Alley,Dayton,Ohio,45470,Independent Floor,287831,1,3,2223,1932,3/2/2023,2,Durante Ramard,dramard27@angelfire.com
81,72676 Vahlen Crossing,Fort Wayne,Indiana,46857,Condo,182201,2,1,1441,1900,6/12/2022,2,Lexy Denslow,ldenslow28@jugem.jp
82,95096 Stoughton Place,Tacoma,Washington,98442,Apartment,879301,5,4,3026,2019,4/28/2021,4,Rosemaria Sloper,rsloper29@dropbox.com
83,24 Morning Park,Atlanta,Georgia,30392,Independent Floor,315193,2,2,853,1972,5/28/2023,4,Hyman Colquite,hcolquite2a@creativecommons.org
84,992 Moose Place,Atlanta,Georgia,30301,Villa,693524,4,4,3638,1951,3/18/2022,1,Clark Bente,cbente2b@elpais.com
85,380 Helena Drive,Oakland,California,94627,Independent Floor,832949,3,3,4673,2016,6/29/2021,3,Webb Fasset,wfasset2c@163.com
86,29 Farragut Drive,West Palm Beach,Florida,33421,Independent Floor,652640,1,1,3248,1988,12/16/2021,2,Timotheus Halleday,thalleday2d@sun.com
87,83075 Coolidge Trail,Miami,Florida,33283,Condo,685095,1,1,553,2007,8/2/2021,4,Nikolaos Luckie,nluckie2e@scribd.com
88,1076 Annamark Trail,Fort Lauderdale,Florida,33310,Independent Floor,191951,3,1,4825,2018,3/1/2021,4,Erna Fruish,efruish2f@pbs.org
89,85 Longview Crossing,New York City,New York,10009,Independent Floor,768415,5,2,2417,1943,4/23/2022,1,Illa Pancoast,ipancoast2g@cpanel.net
90,10899 Sundown Point,Hialeah,Florida,33013,Independent Floor,628569,5,3,4092,1908,2/15/2022,3,Jan Bogeys,jbogeys2h@columbia.edu
91,9 Briar Crest Trail,Washington,District of Columbia,20062,Independent Floor,907055,3,3,621,1926,8/1/2022,1,Tades Kuhnt,tkuhnt2i@smugmug.com
92,9550 Lake View Park,Honolulu,Hawaii,96805,Independent Floor,877070,4,1,2956,1914,3/4/2021,2,Zollie Voller,zvoller2j@edublogs.org
93,570 Stang Plaza,Madison,Wisconsin,53705,Independent Floor,923629,1,1,2602,1973,5/5/2022,1,Karina Fulcher,kfulcher2k@wisc.edu
94,8 Meadow Ridge Lane,Corpus Christi,Texas,78410,Villa,975061,5,1,1776,1974,4/4/2023,3,Junette Titcombe,jtitcombe2l@dyndns.org
95,5 Maywood Alley,Pensacola,Florida,32505,Condo,191205,1,4,1117,1932,8/16/2022,3,Ly Kennham,lkennham2m@t-online.de
96,477 Chinook Parkway,Fresno,California,93750,Villa,926364,5,4,1236,1915,6/15/2023,2,Beatriz Marty,bmarty2n@bluehost.com
97,331 Lakewood Road,Maple Plain,Minnesota,55579,Condo,880012,4,1,3681,1936,3/24/2022,4,Omar Peniello,openiello2o@wufoo.com
98,34107 Dorton Park,Atlanta,Georgia,30392,Apartment,719016,5,3,4537,1975,9/26/2022,2,Archer Fass,afass2p@lulu.com
99,703 Eagle Crest Point,Prescott,Arizona,86305,Apartment,412664,5,4,2198,1964,1/29/2021,1,Welby Haxby,whaxby2q@auda.org.au
100,9560 Spohn Lane,Des Moines,Iowa,50393,Condo,468173,1,1,2624,2021,3/23/2022,2,Bob Ricardon,bricardon2r@washington.edu
101,95602 Oak Valley Terrace,Dallas,Texas,75221,Condo,314008,4,1,3739,1971,7/21/2023,4,Cly Yeell,cyeell2s@studiopress.com
102,6 Reinke Street,Chicago,Illinois,60657,Villa,530939,5,1,2230,1974,6/18/2022,4,Dniren Tinker,dtinker2t@aol.com
103,9 Eastlawn Place,Houston,Texas,77020,Villa,743868,4,4,4043,1983,10/19/2021,1,Nicola Ferreli,nferreli2u@blogger.com
104,67 Arapahoe Drive,Albuquerque,New Mexico,87195,Apartment,453013,1,1,2425,1991,3/13/2023,2,Forester Siberry,fsiberry2v@samsung.com
105,2 Lakewood Park,Philadelphia,Pennsylvania,19146,Independent Floor,196252,3,3,2192,1931,2/20/2022,2,Christos Goude,cgoude2w@w3.org
106,12 Buhler Street,Hartford,Connecticut,6152,Independent Floor,628797,4,2,1904,1904,2/4/2021,2,Karim Greystoke,kgreystoke2x@creativecommons.org
107,3689 Melvin Trail,Naperville,Illinois,60567,Independent Floor,828249,2,1,4406,1953,6/14/2021,3,Delora Slatford,dslatford2y@marriott.com
108,507 Sachs Avenue,Columbus,Ohio,43226,Apartment,399139,1,4,694,1931,6/23/2022,3,Farrand Coalbran,fcoalbran2z@webnode.com
109,027 Boyd Pass,Saint Paul,Minnesota,55188,Apartment,315105,1,2,2688,1959,9/23/2021,3,Annmaria McAw,amcaw30@t.co
110,801 Monica Trail,Richmond,Virginia,23203,Apartment,259996,5,1,2994,1962,4/21/2023,1,Adan MacTrusty,amactrusty31@ucoz.ru
111,18 Forest Alley,Virginia Beach,Virginia,23471,Independent Floor,395845,5,1,4773,1994,12/5/2020,4,Ephraim Dumbelton,edumbelton32@japanpost.jp
112,80377 Paget Center,Henderson,Nevada,89012,Apartment,767841,2,4,2682,2021,3/15/2022,4,Florella Moores,fmoores33@mac.com
113,9 Golf Court,Tampa,Florida,33625,Independent Floor,205547,2,3,1077,1948,11/29/2022,1,Rod Hardman,rhardman34@un.org
114,34 Toban Hill,Indianapolis,Indiana,46231,Villa,673361,5,1,4820,1965,2/2/2022,1,Otha Graalmans,ograalmans35@themeforest.net
115,46 Stang Court,Norfolk,Virginia,23551,Condo,816881,4,3,1736,2012,11/2/2021,4,Ambros Diche,adiche36@surveymonkey.com
116,29 Luster Road,Washington,District of Columbia,20046,Apartment,217043,2,4,2293,1929,4/8/2023,4,Taffy Ingon,tingon37@plala.or.jp
117,2899 Riverside Circle,Tampa,Florida,33633,Condo,489098,3,1,2533,1948,10/24/2021,3,Leigh Bus,lbus38@feedburner.com
118,5 Nevada Street,Riverside,California,92513,Condo,473513,4,3,4679,2019,12/21/2021,4,Melamie Covendon,mcovendon39@hud.gov
119,10687 Rusk Lane,South Bend,Indiana,46634,Independent Floor,881704,4,1,2662,1978,1/28/2021,2,Blake Busk,bbusk3a@google.ru
120,2834 Troy Park,Columbus,Georgia,31998,Apartment,147547,5,2,4787,1978,8/5/2021,2,Leshia Regis,lregis3b@admin.ch
121,67 Manley Terrace,San Antonio,Texas,78296,Independent Floor,581811,1,3,4416,1938,5/21/2022,2,Loise Capponer,lcapponer3c@wikia.com
122,31359 Maple Wood Terrace,Jacksonville,Florida,32215,Villa,671222,5,1,2696,1924,4/1/2023,1,Nealon Starking,nstarking3d@devhub.com
123,2996 Cottonwood Crossing,Oklahoma City,Oklahoma,73135,Apartment,869926,1,3,983,1999,1/23/2021,1,Tracey Storms,tstorms3e@studiopress.com
124,88 Autumn Leaf Terrace,Birmingham,Alabama,35254,Villa,300925,2,2,4867,1928,2/22/2023,2,Dyanne Peterkin,dpeterkin3f@mapy.cz
125,4 Vernon Crossing,Seattle,Washington,98121,Villa,116438,2,4,4849,1946,4/7/2023,3,Umeko Maslin,umaslin3g@goodreads.com
126,5 Crowley Drive,Albany,New York,12210,Condo,555784,3,4,3193,1998,10/24/2021,4,Mag Longina,mlongina3h@rambler.ru
127,053 Warrior Way,Mobile,Alabama,36622,Independent Floor,510749,4,2,4244,1915,11/26/2021,3,Cordie Burgiss,cburgiss3i@bandcamp.com
128,72674 Everett Trail,Milwaukee,Wisconsin,53285,Independent Floor,353734,2,4,1892,2018,1/8/2021,1,Terry Sorsby,tsorsby3j@hud.gov
129,20852 Almo Trail,New Bedford,Massachusetts,2745,Villa,260370,1,1,2752,2011,3/1/2022,4,Eddy Scibsey,escibsey3k@macromedia.com
130,9062 Meadow Ridge Alley,Washington,District of Columbia,20036,Villa,327368,2,2,3136,1908,3/14/2023,2,Andee Licquorish,alicquorish3l@geocities.com
131,45726 7th Crossing,Springfield,Illinois,62776,Villa,972539,2,3,2691,1962,3/23/2021,4,Dasi Calderbank,dcalderbank3m@pagesperso-orange.fr
132,9667 Cody Junction,Phoenix,Arizona,85099,Condo,447165,2,1,2022,1944,10/7/2021,3,Lion Saipy,lsaipy3n@sciencedirect.com
133,8 Pawling Park,New Orleans,Louisiana,70187,Condo,990857,5,1,3881,2019,8/25/2021,1,Jacynth Minkin,jminkin3o@mediafire.com
134,132 Di Loreto Terrace,Shawnee Mission,Kansas,66205,Apartment,720953,5,3,2051,1904,5/8/2023,1,Rube O'Criane,rocriane3p@unesco.org
135,21 Doe Crossing Alley,Camden,New Jersey,8104,Independent Floor,370598,4,1,2072,1928,2/9/2023,1,Matty Euston,meuston3q@ebay.com
136,3 Linden Pass,Seattle,Washington,98148,Villa,560193,5,4,3351,1906,6/21/2021,2,Rodie Vella,rvella3r@fc2.com
137,5559 Beilfuss Lane,Milwaukee,Wisconsin,53277,Villa,512961,2,1,2162,1971,1/25/2022,3,Vachel Gunther,vgunther3s@ucoz.ru
138,54 Norway Maple Junction,Odessa,Texas,79764,Apartment,606010,4,1,745,1983,9/30/2021,1,Barbie Beddows,bbeddows3t@japanpost.jp
139,68921 Larry Street,Sacramento,California,94273,Independent Floor,808415,2,1,919,1934,6/21/2022,3,Aldo Folker,afolker3u@umn.edu
140,0812 Norway Maple Point,Duluth,Georgia,30195,Apartment,844787,3,3,3093,1919,10/27/2021,1,Rodney Arbon,rarbon3v@fda.gov
141,04507 Upham Drive,Rockford,Illinois,61110,Independent Floor,569719,1,4,3803,1986,4/1/2023,4,Kass Tapson,ktapson3w@latimes.com
142,4982 Briar Crest Alley,Virginia Beach,Virginia,23471,Apartment,112808,2,1,1419,1962,11/15/2021,1,Sam Sackes,ssackes3x@oakley.com
143,881 Eastlawn Alley,Jackson,Mississippi,39210,Condo,413632,2,2,3004,1967,3/17/2023,1,Alberik Letixier,aletixier3y@goo.ne.jp
144,41 Waxwing Circle,Atlanta,Georgia,30316,Villa,359117,1,2,2754,1965,6/14/2023,3,Athene Duny,aduny3z@over-blog.com
145,12875 Crownhardt Junction,Richmond,Virginia,23242,Independent Floor,349305,4,1,3470,1990,12/20/2022,1,Nicola Pitchers,npitchers40@moonfruit.com
146,72 Clarendon Lane,Kansas City,Missouri,64144,Apartment,851981,3,3,1130,1948,11/20/2021,3,Adams Diggle,adiggle41@examiner.com
147,8296 Rigney Way,College Station,Texas,77844,Apartment,797555,4,1,3848,1955,10/1/2021,2,Alyssa Lines,alines42@topsy.com
148,3237 Golf Street,San Antonio,Texas,78265,Apartment,755198,1,1,4302,1981,4/8/2023,4,Evelin Yakunikov,eyakunikov43@hugedomains.com
149,10357 Dexter Avenue,Carson City,Nevada,89706,Condo,759344,5,2,1346,1948,9/10/2021,2,Carla Kyberd,ckyberd44@jigsy.com
150,8 American Parkway,Baton Rouge,Louisiana,70894,Condo,400136,3,2,560,1910,11/27/2020,2,Phedra Fundell,pfundell45@ovh.net
151,7109 Anthes Center,Trenton,New Jersey,8619,Condo,937179,3,2,3122,1928,10/15/2021,2,Austine Gheorghe,agheorghe46@privacy.gov.au
152,86381 Kings Street,Columbus,Ohio,43220,Villa,747659,5,3,3248,1949,4/12/2022,3,Roley Daingerfield,rdaingerfield47@g.co
153,85 Bayside Lane,San Jose,California,95150,Independent Floor,205078,1,1,2765,2005,9/17/2022,1,Meghann Meeus,mmeeus48@japanpost.jp
154,51756 Montana Point,Pittsburgh,Pennsylvania,15240,Condo,998832,2,1,563,1935,5/7/2022,1,Chickie Cohan,ccohan49@ow.ly
155,27216 Hanover Alley,Arlington,Virginia,22212,Condo,363499,4,2,3390,1913,8/3/2023,3,Francklyn Fuggles,ffuggles4a@mozilla.com
156,90 Vermont Court,Cincinnati,Ohio,45238,Apartment,620590,2,2,2433,1919,9/9/2022,4,Riley Deer,rdeer4b@php.net
157,3762 Truax Center,Saint Louis,Missouri,63136,Condo,663278,4,1,2078,1919,4/23/2021,3,Clyve Spuner,cspuner4c@nymag.com
158,9889 Manley Road,Fort Worth,Texas,76105,Condo,502476,2,2,4430,1989,1/26/2022,1,Cristina Wissbey,cwissbey4d@trellian.com
159,7627 Northfield Trail,Sioux City,Iowa,51110,Condo,478493,5,3,2620,2011,9/1/2022,3,Rawley Blackley,rblackley4e@go.com
160,76512 Macpherson Junction,Aurora,Colorado,80015,Apartment,447044,1,3,2448,1902,11/4/2020,3,Shoshana Casement,scasement4f@com.com
161,64284 Bellgrove Drive,Nashville,Tennessee,37240,Condo,833935,5,2,3219,1995,3/5/2021,3,Braden Stokell,bstokell4g@over-blog.com
162,3 Dawn Drive,Boston,Massachusetts,2203,Independent Floor,855114,4,1,1048,1973,11/10/2020,1,Ade Snar,asnar4h@elpais.com
163,29329 Pond Point,Young America,Minnesota,55564,Condo,217392,4,3,2356,1936,1/11/2023,1,Sheba Lathom,slathom4i@creativecommons.org
164,205 Clemons Street,Baton Rouge,Louisiana,70805,Independent Floor,536202,3,4,1257,2013,11/18/2020,4,Gussy McCallister,gmccallister4j@livejournal.com
165,63784 Upham Trail,El Paso,Texas,88525,Villa,645770,3,1,1393,2010,8/21/2021,2,Kristoforo Bees,kbees4k@github.io
166,95410 Goodland Way,Brooklyn,New York,11220,Apartment,573555,3,2,1716,1939,4/23/2023,3,Shannon Lytton,slytton4l@redcross.org
167,9 Darwin Point,El Paso,Texas,79923,Independent Floor,189460,1,4,3876,1919,2/2/2021,2,Roderick Wasling,rwasling4m@whitehouse.gov
168,9 Pond Pass,Brooklyn,New York,11220,Independent Floor,584193,3,1,2453,1903,12/8/2021,3,Quinn Pallas,qpallas4n@gov.uk
169,428 Sunfield Crossing,New York City,New York,10170,Villa,332630,3,3,717,2021,11/26/2021,1,Vincents McCawley,vmccawley4o@wordpress.com
170,2 Melrose Drive,New Orleans,Louisiana,70124,Apartment,133757,1,1,3099,1952,2/1/2022,2,Jeralee Allot,jallot4p@elpais.com
171,7 Sheridan Street,Sacramento,California,95823,Villa,692175,5,2,4593,1977,3/10/2023,2,Vivianna Garron,vgarron4q@army.mil
172,01925 Marcy Junction,Louisville,Kentucky,40266,Villa,646628,1,3,1844,1948,3/25/2023,4,Doy Coy,dcoy4r@dell.com
173,128 Mitchell Plaza,Phoenix,Arizona,85025,Villa,126722,4,2,1926,2008,4/12/2022,2,Moina Davidovicz,mdavidovicz4s@netscape.com
174,89 Blaine Crossing,Florence,South Carolina,29505,Apartment,333150,4,2,2196,1913,7/11/2021,4,Hieronymus Wickham,hwickham4t@hexun.com
175,9 Arapahoe Road,Portland,Oregon,97221,Condo,937170,1,1,2613,1969,5/1/2023,2,Harrie Grahame,hgrahame4u@hhs.gov
176,751 Sullivan Crossing,Baltimore,Maryland,21290,Independent Floor,254190,5,2,2903,1990,1/1/2022,2,Mady Donaho,mdonaho4v@wikia.com
177,38 Di Loreto Court,Tallahassee,Florida,32304,Condo,737970,5,2,2383,1913,7/28/2021,4,Euphemia Josefovic,ejosefovic4w@storify.com
178,361 Clove Center,Great Neck,New York,11024,Villa,949968,2,2,2204,1961,6/2/2022,3,Milton Newlands,mnewlands4x@sina.com.cn
179,80452 Donald Hill,Houston,Texas,77234,Independent Floor,119360,5,3,1095,1996,1/15/2021,3,Shanta Harness,sharness4y@indiegogo.com
180,5 Lake View Alley,Gainesville,Florida,32610,Condo,560678,1,1,744,2000,4/16/2023,2,Brena Shawyers,bshawyers4z@myspace.com
181,9 Mesta Trail,Fayetteville,North Carolina,28314,Condo,571581,2,3,810,1905,5/4/2022,2,Leroi Uman,luman50@nps.gov
182,90705 Meadow Valley Pass,Las Vegas,Nevada,89140,Apartment,589974,2,4,1502,2007,1/18/2023,3,Aloysius Faulo,afaulo51@ihg.com
183,1 Iowa Crossing,Huntington,West Virginia,25726,Independent Floor,153131,1,3,1387,1950,5/1/2021,1,Ransom Costellow,rcostellow52@hatena.ne.jp
